Input
AAK1
SERINC1
ALDH3A2
SSPO
SNCB
CPLX1
HSPA12A
INA
SSR1
SRGAP2
ALDH9A1
STXBP5L
FARSB
NDUFA5
VGF
NDUFS8
TLN1
DDAH2
SEC31A
SLC25A25
PMPCA
TOM1L2
AGRN
AARA
NDUFA9
ABR
CYCS
SYNGAP1
SLC25A46
SMC1A
SH3BGRL
HIST2H2AA4
LETM1
ENO2
SEPT5
RBM14
PBXIP1
COX7C
ESD
COX7A2L
FKBP1A
ITSN1
NADK2
SUCLA2
WASL
VCP
NDUFS1
ADD3
PDCD5
BAIAP2
ARRB1
BLVRB
CYC1
NUMBL
NONO
RPH3A
STRN
MSN
ADCYAP1R1
SRPK2
ACAT2
NAPG
HSPA1B
PGLS
NPY
LMNB2
SOGA3
HSPB8
FHL1
SPTBN4
